DateTime,Entries,UniqueIPs
1539938427,9400,9563
1539939410,9405,9568
1539940355,9400,9563
1539941309,9396,9559
1539942021,9384,9547
1539942750,9382,9547
1539943716,9374,9538
1539944675,9378,9542
1539945627,9383,9547
1539946343,9379,9543
1539947077,9381,9545
1539947802,9380,9544
1539948762,9378,9542
1539949468,9377,9541
1539950184,9382,9546
1539950919,9376,9540
1539951876,9378,9542
1539952826,9384,9548
1539953530,9380,9544
1539954262,9372,9536
1539954971,9380,9544
1539955694,9382,9546
1539956669,9385,9549
1539957626,9386,9550
1539958599,9376,9540
1539959555,9380,9543
1539960263,9376,9539
1539960984,9372,9535
1539961705,9376,9539
1539962433,9384,9547
1539963149,9378,9541
1539963868,9383,9546
1539964615,9380,9543
1539965590,9371,9535
1539966264,9366,9530
1539966982,9359,9521
1539967706,9362,9525
1539968437,9358,9521
1539969148,9364,9527
1539969862,9363,9526
1539970592,9341,9504
1539971555,9348,9511
1539972528,9353,9515
1539973470,9351,9513
1539974433,9353,9515
1539975388,9346,9507
1539976363,9342,9503
1539977309,9345,9507
1539978276,9327,9487
1539979238,9338,9501
1539980195,9329,9493
1539981155,9330,9494
1539982112,9322,9485
1539983074,9317,9478
1539984043,9314,9475
1539984980,9320,9481
1539985959,9315,9476
1539986916,9306,9467
1539987874,9302,9462
1539988831,9302,9463
1539989540,9305,9466
1539990270,9308,9469
1539990985,9306,9466
1539991710,9301,9461
1539992421,9313,9473
1539993149,9319,9478
1539993866,9324,9483
1539994673,9324,9482
1539995562,9324,9482
1539996509,9333,9491
1539997478,9323,9481
1539998433,9322,9480
1539999145,9326,9484
1539999864,9341,9499
1540000580,9327,9484
1540001319,9312,9468
1540002022,9304,9460
1540002751,9318,9474
1540003461,9311,9467
1540004189,9315,9471
1540005168,9315,9471
1540005866,9316,9473
1540006586,9307,9464
1540007306,9303,9460
1540008039,9314,9471
1540008756,9308,9464
1540009464,9304,9460
1540010183,9306,9462
1540010907,9303,9459
1540011877,9304,9461
1540012829,9309,9467
1540013547,9311,9469
1540014262,9313,9471
1540014989,9309,9467
1540015714,9306,9465
1540016666,9312,9471
